Sr No,log
38,ET;WALK;20230110;960;
38,UPDATE SCORE;-8742;-7782
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-7782;-7772
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-7772;-7762
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-7762;-7752
38,TD_DEL;7;Hair cut;
38,RT_completed;6;Cream evening;
38,UPDATE SCORE;-7752;-7742
38,COMPLETED DT1;Scrapper;
38,UPDATE SCORE;-7742;-7542
38,NEW DAY;20230116;DAILY CHARGE;
38,UPDATE SCORE;-7542;-12542
38,NEW DAY;20230117;DAILY CHARGE;
38,UPDATE SCORE;-12542;-13542
38,NEW DAY;20230118;DAILY CHARGE;
38,UPDATE SCORE;-13542;-14542
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-14542;-14532
38,COMPLETED DT2;Data exp;
38,UPDATE SCORE;-14532;-14332
38,COMPLETED DT3;Reset Dt;
38,UPDATE SCORE;-14332;-14032
38,COMPLETED DT1;23:00;
38,UPDATE SCORE;-14032;-13532
38,RT_completed;1;Varsity;
38,UPDATE SCORE;-13532;-13522
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-13522;-13512
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-13512;-13502
38,RT_completed;4;Medicine night;
38,UPDATE SCORE;-13502;-13492
38,RT_completed;7;Cream night;
38,UPDATE SCORE;-13492;-13482
38,ET;Walk;20230117;519;
38,UPDATE SCORE;-13482;-12963
38,ET;Walk;20230116;273;
38,UPDATE SCORE;-12963;-12690
38,NEW DAY;20230119;DAILY CHARGE;
38,UPDATE SCORE;-12690;-13690
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-13690;-13680
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-13680;-13670
38,ET;WALK;20230118;553;
38,UPDATE SCORE;-13670;-13117
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-13117;-13107
38,RT_ADD;23:00;100;
38,NEW DAY;20230120;DAILY CHARGE;
38,UPDATE SCORE;-13107;-14107
38,NEW DAY;20230121;DAILY CHARGE;
38,UPDATE SCORE;-14107;-15107
38,NEW DAY;20230122;DAILY CHARGE;
38,UPDATE SCORE;-15107;-16107
38,COMPLETED DT1;Stat handouts x5;
38,UPDATE SCORE;-16107;-15907
38,COMPLETED DT2;Data exp;
38,UPDATE SCORE;-15907;-15607
38,COMPLETED DT3;Reset Dt;
38,UPDATE SCORE;-15607;-15107
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-15107;-15087
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-15087;-14987
38,RT_completed;4;Medicine night;
38,UPDATE SCORE;-14987;-14887
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-14887;-14787
38,RT_completed;6;Cream evening;
38,UPDATE SCORE;-14787;-14687
38,ET;WALK;20230119;666;
38,UPDATE SCORE;-14687;-14021
38,ET;WALK;20230120;1036;
38,UPDATE SCORE;-14021;-12985
38,ET;WALK;20230121;12353;
38,UPDATE SCORE;-12985;-632
38,ET;UNDO_WALK;20230121;-12353;
38,UPDATE SCORE;-632;-12985
38,ET;WALK;20230121;1235;
38,UPDATE SCORE;-12985;-11750
38,NEW DAY;20230123;DAILY CHARGE;
38,UPDATE SCORE;-11750;-12750
38,NEW DAY;20230124;DAILY CHARGE;
38,UPDATE SCORE;-12750;-13750
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-13750;-13650
38,COMPLETED DT1;Stat handouts x5;
38,UPDATE SCORE;-13650;-13450
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-13450;-13430
38,ET;WALK;20230122;518;
38,UPDATE SCORE;-13430;-12912
38,ET;WALK;20230123;221;
38,UPDATE SCORE;-12912;-12691
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-12691;-12591
38,TD_ADD;Extension;
38,TD_ADD;Add points feature TD;
38,COMPLETED DT3;Reset Dt Create;
38,UPDATE SCORE;-12591;-12291
38,RT_completed;6;Cream evening;
38,UPDATE SCORE;-12291;-12191
38,RT_completed;4;Medicine night;
38,UPDATE SCORE;-12191;-12091
38,TD_ADD;Increase usage;
38,RT_ADD;FRM 15 pg;300;
38,TD_ADD;Learning chunks tab;
38,TD_ADD;Walk Tab;
38,TD_ADD;Game / Watch tab;
38,COMPLETED DT2;2300;
38,UPDATE SCORE;-12091;-11591
38,TD_ADD;Complete DT in past;
38,RT_completed;9;23:00;
38,UPDATE SCORE;-11591;-11491
38,TD_DEL;17;Complete DT in past;
38,TD_ADD;Reset day with permission;
38,RT_completed;7;Cream night;
38,UPDATE SCORE;-11491;-11391
38,NEW DAY;20230125;DAILY CHARGE;
38,UPDATE SCORE;-11391;-12391
38,TD_ADD;Utc and ist stuff afterwards;
38,TD_ADD;Doctor consult;
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-12391;-12291
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-12291;-12191
38,COMPLETED DT1;Stat handouts x5;
38,UPDATE SCORE;-12191;-11991
38,ET;Walk;20230124;310;
38,UPDATE SCORE;-11991;-11681
38,RT_completed;4;Medicine night;
38,UPDATE SCORE;-11681;-11581
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-11581;-11561
38,RT_completed;10;FRM 15 pg;
38,UPDATE SCORE;-11561;-11261
38,COMPLETED DT3;Push Dt Create;
38,UPDATE SCORE;-11261;-10961
38,TD_ADD;Pin GRL on homepage;
38,TD_ADD;Completed to do visibility limited;
38,UNDO DT1;Stat handouts x5;
38,UPDATE SCORE;-10961;-11261
38,COMPLETED DT1;Stat handouts x5;
38,UPDATE SCORE;-11261;-10961
38,COMPLETED DT2;2300;
38,UPDATE SCORE;-10961;-10461
38,TD_completed;20;Pin GRL on homepage;334;
38,UPDATE SCORE;-10461;-10127
38,TD_completed;2;Add convienience buttons in GRL;378;
38,UPDATE SCORE;-10127;-9749
38,RT_DEL;8;CryptoZombie;
38,RT_completed;8;23:00;
38,UPDATE SCORE;-9749;-9649
38,RT_completed;7;Cream night;
38,UPDATE SCORE;-9649;-9549
38,"TD_ADD;Add something in GRL for removing responsibility, lazing, curiosity;"
38,TD_ADD;Add multiple tasks together or voice integration;
38,NEW DAY;20230126;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-9549;-10549
38,COMPLETED DT1;Add Daily Task;
38,UPDATE SCORE;-10549;-10349
38,UNDO DT1;Add Daily Task;
38,UPDATE SCORE;-10349;-10549
38,NEW DAY;20230128;DAILY CHARGE;
38,RESET_DT;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,UPDATE SCORE;-10549;-12549
38,ET;Fever x3;1500;
38,UPDATE SCORE;-12549;-11049
38,TD_DEL;24;Add Daily Task;
38,TD_DEL;24;Add Daily Task;
38,TD_DEL;24;Add Daily Task;
38,"TD_ADD;""Add daily task"" gets shifted to to do BUG;"
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-11049;-11029
38,ET;Walk;20230126;725;
38,UPDATE SCORE;-11029;-10304
38,ET;Walk;20230127;323;
38,UPDATE SCORE;-10304;-9981
38,NEW DAY;20230130;DAILY CHARGE;
38,RESET_DT;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,UPDATE SCORE;-9981;-11981
38,NEW DAY;20230131;DAILY CHARGE;
38,RESET_DT;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,UPDATE SCORE;-11981;-12981
38,TD_DEL;30;Add Daily Task;
38,TD_DEL;27;Add Daily Task;
38,TD_DEL;28;Add Daily Task;
38,TD_DEL;26;Add Daily Task;
38,TD_DEL;26;Add Daily Task;
38,TD_DEL;25;Add Daily Task;
38,ET;Fever x3;1500;
38,UPDATE SCORE;-12981;-11481
38,ET;Fever x3;1500;
38,UPDATE SCORE;-11481;-9981
38,ET;Walk;20230130;208;
38,UPDATE SCORE;-9981;-9773
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-9773;-9753
38,RT_completed;8;23:00;
38,UPDATE SCORE;-9753;-9653
38,NEW DAY;20230204;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-9653;-13653
38,ET;Fever x5;2500;
38,UPDATE SCORE;-13653;-11153
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-11153;-11133
38,TD_ADD;Refill paper soap;
38,TD_ADD;Trimmer charge;
38,TD_ADD;We need some semi formal attire;
38,TD_ADD;We need some semi formal attire;
38,NEW DAY;20230205;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-11133;-12133
38,TD_DEL;28;We need some semi formal attire;
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-12133;-12113
38,COMPLETED DT1;Add Daily Task;
38,UPDATE SCORE;-12113;-11913
38,ET;Walk;20230205;2115;
38,UPDATE SCORE;-11913;-9798
38,ET;Walk;20230204;219;
38,UPDATE SCORE;-9798;-9579
38,RT_completed;1;Varsity;
38,UPDATE SCORE;-9579;-9529
38,COMPLETED DT3;Add Daily Task;
38,UPDATE SCORE;-9529;-9229
38,NEW DAY;20230209;DAILY CHARGE;
38,RESET_DT;
38,TD_ADD;Add Daily Task;
38,UPDATE SCORE;-9229;-13229
38,ET;Wed x5;2500;
38,UPDATE SCORE;-13229;-10729
38,ET;Wed x1;500;
38,UPDATE SCORE;-10729;-10229
38,TD_DEL;28;Add Daily Task;
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-10229;-10209
38,NEW DAY;20230210;DAILY CHARGE;
38,RESET_DT;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,UPDATE SCORE;-10209;-11209
38,ET;Walk;20230207;1200;
38,UPDATE SCORE;-11209;-10009
38,ET;Walk;20230208;1216;
38,UPDATE SCORE;-10009;-8793
38,ET;Walk;20230209;1207;
38,UPDATE SCORE;-8793;-7586
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-7586;-7566
38,ET;Walk;20230210;931;
38,UPDATE SCORE;-7566;-6635
38,TD_DEL;28;Add Daily Task;
38,TD_DEL;29;Add Daily Task;
38,TD_DEL;28;Add Daily Task;
38,NEW DAY;20230211;DAILY CHARGE;
38,RESET_DT;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,UPDATE SCORE;-6635;-7635
38,NEW DAY;20230212;DAILY CHARGE;
38,RESET_DT;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,TD_ADD;Add Daily Task;
38,UPDATE SCORE;-7635;-8635
38,TD_DEL;33;Add Daily Task;
38,TD_DEL;32;Add Daily Task;
38,TD_DEL;30;Add Daily Task;
38,TD_DEL;30;Add Daily Task;
38,TD_DEL;29;Add Daily Task;
38,TD_DEL;28;Add Daily Task;
38,TD_DEL;19;Doctor consult;
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-8635;-8615
38,TD_ADD;Moulic pdf x3;
38,TD_ADD;Better travelling clothes;
38,COMPLETED DT1;moulic pdf x1;
38,UPDATE SCORE;-8615;-8415
38,COMPLETED DT2;dsai x2;
38,UPDATE SCORE;-8415;-8115
38,ET;Walk;20230211;72;
38,UPDATE SCORE;-8115;-8043
38,ET;Walk;20230212;673;
38,UPDATE SCORE;-8043;-7370
38,RT_completed;7;Cream night;
38,UPDATE SCORE;-7370;-7270
38,NEW DAY;20230213;DAILY CHARGE;
38,RESET_DT;
38,TD_ADD;Add Daily Task;
38,UPDATE SCORE;-7270;-8270
38,TD_completed;25;Trimmer charge;50;
38,UPDATE SCORE;-8270;-8220
38,TD_ADD;task category so that easily handled;
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-8220;-8200
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-8200;-8100
38,COMPLETED DT1;Moulic x2;
38,UPDATE SCORE;-8100;-7900
38,COMPLETED DT3;Add daily bug;
38,UPDATE SCORE;-7900;-7600
38,NEW DAY;20230214;DAILY CHARGE;
38,RESET_DT;
38,TD_ADD;Dsai x1;
38,UPDATE SCORE;-7600;-8600
38,TD_completed;27;Moulic pdf x3;50;
38,UPDATE SCORE;-8600;-8550
38,TD_DEL;30;Dsai x1;
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-8550;-8530
38,ET;WALK;20230213;491;
38,UPDATE SCORE;-8530;-8039
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-8039;-7939
38,COMPLETED DT1;Moulic complete;
38,UPDATE SCORE;-7939;-7739
38,COMPLETED DT3;Moulic complete;
38,UPDATE SCORE;-7739;-7439
38,COMPLETED DT2;Moulic complete;
38,UPDATE SCORE;-7439;-6939
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-6939;-6839
38,RT_completed;7;Cream night;
38,UPDATE SCORE;-6839;-6739
38,RT_completed;4;Medicine night;
38,UPDATE SCORE;-6739;-6639
38,RT_completed;8;23:00;
38,UPDATE SCORE;-6639;-6539
38,"TD_completed;23;""Add daily task"" gets shifted to to do BUG;542;"
38,UPDATE SCORE;-6539;-5997
38,NEW DAY;20230215;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-5997;-6997
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-6997;-6977
38,ET;Walk;20230214;248;
38,UPDATE SCORE;-6977;-6729
38,COMPLETED DT1;Add Daily Task;
38,UPDATE SCORE;-6729;-6529
38,COMPLETED DT2;Add Daily Task;
38,UPDATE SCORE;-6529;-6229
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-6229;-6129
38,RT_completed;4;Medicine night;
38,UPDATE SCORE;-6129;-6029
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-6029;-5929
38,RT_completed;7;Cream night;
38,UPDATE SCORE;-5929;-5829
38,COMPLETED DT3;Add Daily Task;
38,UPDATE SCORE;-5829;-5329
38,UNDO DT3;Add Daily Task;
38,UPDATE SCORE;-5329;-5829
38,NEW DAY;20230217;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-5829;-7829
38,ET;Walk;20230216;205;
38,UPDATE SCORE;-7829;-7624
38,COMPLETED DT1;Add Daily Task;
38,UPDATE SCORE;-7624;-7424
38,COMPLETED DT3;Add Daily Task;
38,UPDATE SCORE;-7424;-7124
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-7124;-7104
38,RT_completed;3;Medicine morning;
38,UPDATE SCORE;-7104;-7004
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-7004;-6904
38,RT_completed;6;Cream evening;
38,UPDATE SCORE;-6904;-6804
38,RT_UNDO;6;Cream evening;
38,UPDATE SCORE;-6804;-6904
38,RT_completed;4;Medicine night;
38,UPDATE SCORE;-6904;-6804
38,UNDO DT1;Add Daily Task;
38,UPDATE SCORE;-6804;-7104
38,COMPLETED DT1;Add Daily Task;
38,UPDATE SCORE;-7104;-6804
38,COMPLETED DT2;Add Daily Task;
38,UPDATE SCORE;-6804;-6304
38,RT_completed;7;Cream night;
38,UPDATE SCORE;-6304;-6204
38,RT_completed;2;Book reading 15 pages;
38,UPDATE SCORE;-6204;-6054
38,NEW DAY;20230218;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-6054;-7054
38,COMPLETED DT2;ai dependable;
38,UPDATE SCORE;-7054;-6854
38,COMPLETED DT1;cloth back from laundry;
38,UPDATE SCORE;-6854;-6554
38,UNDO DT1;cloth back from laundry;
38,UPDATE SCORE;-6554;-6854
38,COMPLETED DT3;create add task to dt feature;
38,UPDATE SCORE;-6854;-6554
38,UNDO DT3;create add task to dt feature;
38,UPDATE SCORE;-6554;-6854
38,COMPLETED DT3;create add task to dt feature;
38,UPDATE SCORE;-6854;-6554
38,UNDO DT3;create add task to dt feature;
38,UPDATE SCORE;-6554;-6854
38,UNDO DT2;ai dependable;
38,UPDATE SCORE;-6854;-7054
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-7054;-7034
38,RT_completed;5;Cream morning;
38,UPDATE SCORE;-7034;-6934
38,RT_completed;7;Cream night;
38,UPDATE SCORE;-6934;-6834
38,NEW DAY;20230220;DAILY CHARGE;
38,RESET_DT;
38,TD_ADD;cloth back from laundry;
38,TD_ADD;ai dependable;
38,TD_ADD;create add task to dt feature;
38,UPDATE SCORE;-6834;-8834
38,ET;YesterdayDTs;1000;
38,UPDATE SCORE;-8834;-7834
38,NEW DAY;20230221;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-7834;-8834
38,COMPLETED DT2;Add Daily Task;
38,UPDATE SCORE;-8834;-8634
38,TD_DEL;31;ai dependable;
38,TD_DEL;30;cloth back from laundry;
38,ET;Walk;20230220;575;
38,UPDATE SCORE;-8634;-8059
38,ET;Walk;20230219;750;
38,UPDATE SCORE;-8059;-7309
38,ET;Walk;20230219;532;
38,UPDATE SCORE;-7309;-6777
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-6777;-6757
38,COMPLETED DT3;bottle x3 ;
38,UPDATE SCORE;-6757;-6457
38,COMPLETED DT1;self notes of vnc;
38,UPDATE SCORE;-6457;-5957
38,NEW DAY;20230222;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-5957;-6957
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-6957;-6937
38,RT_completed;6;Cream evening;
38,UPDATE SCORE;-6937;-6837
38,COMPLETED DT3;Add Daily Task;
38,UPDATE SCORE;-6837;-6637
38,COMPLETED DT2;Add Daily Task;
38,UPDATE SCORE;-6637;-6337
38,COMPLETED DT1;Add Daily Task;
38,UPDATE SCORE;-6337;-5837
38,ET;Walk;20230221;384;
38,UPDATE SCORE;-5837;-5453
38,TD_ADD;Wash clothes + add to do categ + vnc;
38,NEW DAY;20230223;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-5453;-6453
38,COMPLETED DT3;fnv;
38,UPDATE SCORE;-6453;-6253
38,TD_DEL;31;Wash clothes + add to do categ + vnc;
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-6253;-6233
38,RT_completed;6;Cream evening;
38,UPDATE SCORE;-6233;-6133
38,COMPLETED DT2;clothes;
38,UPDATE SCORE;-6133;-5833
38,COMPLETED DT1;Design td category;
38,UPDATE SCORE;-5833;-5333
38,ET;Walk;20230223;522;
38,UPDATE SCORE;-5333;-4811
38,RT_ADD;Breakfast;500;
38,RT_DEL;31;Breakfast;
38,RT_ADD;Breakfast;500;
38,RT_DEL;31;Breakfast;
38,TD_ADD;Recurr bug;
38,RT_ADD;Breakfast;;
38,RT_DEL;10;Breakfast;
38,RT_ADD;Breakfast;500;
38,TD_completed;31;Recurr bug;310;
38,UPDATE SCORE;-4811;-4501
38,RT_completed;7;Cream night;
38,UPDATE SCORE;-4501;-4401
38,RT_completed;8;23:00;
38,UPDATE SCORE;-4401;-4301
38,TD_ADD;Wash bedsheet;
38,NEW DAY;20230224;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-4301;-5301
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-5301;-5281
38,RT_completed;10;Breakfast;
38,UPDATE SCORE;-5281;-4781
38,COMPLETED DT3;change bedsheet;
38,UPDATE SCORE;-4781;-4581
38,WALK;20230223;499;
38,UPDATE SCORE;-4581;-4082
38,COMPLETED DT1;add walk tab;
38,UPDATE SCORE;-4082;-3782
38,COMPLETED DT2;mailbox needs to be sorted;
38,UPDATE SCORE;-3782;-3282
38,TD_ADD;Create and assign labels in gmail;
38,TD_completed;32;Wash bedsheet;312;
38,UPDATE SCORE;-3282;-2970
38,RT_completed;6;Cream evening;
38,UPDATE SCORE;-2970;-2870
38,ET;Learn;100;
38,UPDATE SCORE;-2870;-2770
38,RT_completed;4;Medicine night;
38,UPDATE SCORE;-2770;-2670
38,Learning;100;
38,UPDATE SCORE;-2670;-2570
38,RT_completed;7;Cream night;
38,UPDATE SCORE;-2570;-2470
38,NEW DAY;20230225;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-2470;-3470
38,WALK;20230224;251;
38,UPDATE SCORE;-3470;-3219
38,RT_completed;0;Open GRL;
38,UPDATE SCORE;-3219;-3199
38,TD_ADD;Sort up saved items;
38,RT_completed;10;Breakfast;
38,UPDATE SCORE;-3199;-2699
38,TD_ADD;vinod's pc reset;
38,COMPLETED DT2;Find ML competetion (look atleast 100);
38,UPDATE SCORE;-2699;-2499
38,TD_ADD;Dummy;
38,TD_DEL;36;Dummy;
38,RT_DEL;3;Medicine morning;
38,RT_DEL;4;Cream morning;
38,COMPLETED DT3;Confirmation pop up;
38,UPDATE SCORE;-2499;-2199
38,TD_ADD;Rishabh tasks;
38,COMPLETED DT1;Mail complete clean;
38,UPDATE SCORE;-2199;-1699
38,TD_completed;35;vinod's pc reset;202;
38,UPDATE SCORE;-1699;-1497
38,TD_completed;36;Rishabh tasks;834;
38,UPDATE SCORE;-1497;-663
38,TD_DEL;33;Create and assign labels in gmail;
38,TD_ADD;Automate labelling mail;
38,TD_DEL;36;Automate labelling mail;
38,TD_ADD;Automate labelling mail + add dt feature with dropdown + create notebook and basics for competition;
38,NEW DAY;20230226;DAILY CHARGE;
38,RESET_DT;
38,UPDATE SCORE;-663;-1663
38,TD_DEL;36;Automate labelling mail + add dt feature with dropdown + create notebook and basics for competition;
