sr_no,log
203,ET;Walk;20230116;273;
204,UPDATE SCORE;-12963;-12690
205,NEW DAY;20230119;DAILY CHARGE;
206,UPDATE SCORE;-12690;-13690
207,RT_completed;3;Medicine morning;
208,UPDATE SCORE;-13690;-13680
209,RT_completed;5;Cream morning;
210,UPDATE SCORE;-13680;-13670
211,ET;WALK;20230118;553;
212,UPDATE SCORE;-13670;-13117
213,RT_completed;0;Open GRL;
214,UPDATE SCORE;-13117;-13107
215,RT_ADD;23:00;100;
216,NEW DAY;20230120;DAILY CHARGE;
217,UPDATE SCORE;-13107;-14107
218,NEW DAY;20230121;DAILY CHARGE;
219,UPDATE SCORE;-14107;-15107
220,NEW DAY;20230122;DAILY CHARGE;
221,UPDATE SCORE;-15107;-16107
222,COMPLETED DT1;Stat handouts x5;
223,UPDATE SCORE;-16107;-15907
224,COMPLETED DT2;Data exp;
225,UPDATE SCORE;-15907;-15607
226,COMPLETED DT3;Reset Dt;
227,UPDATE SCORE;-15607;-15107
228,RT_completed;0;Open GRL;
229,UPDATE SCORE;-15107;-15087
230,RT_completed;3;Medicine morning;
231,UPDATE SCORE;-15087;-14987
232,RT_completed;4;Medicine night;
233,UPDATE SCORE;-14987;-14887
234,RT_completed;5;Cream morning;
235,UPDATE SCORE;-14887;-14787
236,RT_completed;6;Cream evening;
237,UPDATE SCORE;-14787;-14687
238,ET;WALK;20230119;666;
239,UPDATE SCORE;-14687;-14021
240,ET;WALK;20230120;1036;
241,UPDATE SCORE;-14021;-12985
242,ET;WALK;20230121;12353;
243,UPDATE SCORE;-12985;-632
244,ET;UNDO_WALK;20230121;-12353;
245,UPDATE SCORE;-632;-12985
246,ET;WALK;20230121;1235;
247,UPDATE SCORE;-12985;-11750
248,NEW DAY;20230123;DAILY CHARGE;
249,UPDATE SCORE;-11750;-12750
250,NEW DAY;20230124;DAILY CHARGE;
251,UPDATE SCORE;-12750;-13750
252,RT_completed;5;Cream morning;
253,UPDATE SCORE;-13750;-13650
254,COMPLETED DT1;Stat handouts x5;
255,UPDATE SCORE;-13650;-13450
256,RT_completed;0;Open GRL;
257,UPDATE SCORE;-13450;-13430
258,ET;WALK;20230122;518;
259,UPDATE SCORE;-13430;-12912
260,ET;WALK;20230123;221;
261,UPDATE SCORE;-12912;-12691
262,RT_completed;3;Medicine morning;
263,UPDATE SCORE;-12691;-12591
264,TD_ADD;Extension;
265,TD_ADD;Add points feature TD;
266,COMPLETED DT3;Reset Dt Create;
267,UPDATE SCORE;-12591;-12291
268,RT_completed;6;Cream evening;
269,UPDATE SCORE;-12291;-12191
270,RT_completed;4;Medicine night;
271,UPDATE SCORE;-12191;-12091
272,TD_ADD;Increase usage;
273,RT_ADD;FRM 15 pg;300;
274,TD_ADD;Learning chunks tab;
275,TD_ADD;Walk Tab;
276,TD_ADD;Game / Watch tab;
277,COMPLETED DT2;2300;
278,UPDATE SCORE;-12091;-11591
279,TD_ADD;Complete DT in past;
280,RT_completed;9;23:00;
281,UPDATE SCORE;-11591;-11491
282,TD_DEL;17;Complete DT in past;
283,TD_ADD;Reset day with permission;
284,RT_completed;7;Cream night;
285,UPDATE SCORE;-11491;-11391
286,NEW DAY;20230125;DAILY CHARGE;
287,UPDATE SCORE;-11391;-12391
288,TD_ADD;Utc and ist stuff afterwards;
289,TD_ADD;Doctor consult;
290,RT_completed;5;Cream morning;
291,UPDATE SCORE;-12391;-12291
292,RT_completed;3;Medicine morning;
293,UPDATE SCORE;-12291;-12191
294,COMPLETED DT1;Stat handouts x5;
295,UPDATE SCORE;-12191;-11991
296,ET;Walk;20230124;310;
297,UPDATE SCORE;-11991;-11681
298,RT_completed;4;Medicine night;
299,UPDATE SCORE;-11681;-11581
300,RT_completed;0;Open GRL;
301,UPDATE SCORE;-11581;-11561
302,RT_completed;10;FRM 15 pg;
303,UPDATE SCORE;-11561;-11261
304,COMPLETED DT3;Push Dt Create;
305,UPDATE SCORE;-11261;-10961
306,TD_ADD;Pin GRL on homepage;
307,TD_ADD;Completed to do visibility limited;
308,UNDO DT1;Stat handouts x5;
309,UPDATE SCORE;-10961;-11261
310,COMPLETED DT1;Stat handouts x5;
311,UPDATE SCORE;-11261;-10961
312,COMPLETED DT2;2300;
313,UPDATE SCORE;-10961;-10461
314,TD_completed;20;Pin GRL on homepage;334;
315,UPDATE SCORE;-10461;-10127
316,TD_completed;2;Add convienience buttons in GRL;378;
317,UPDATE SCORE;-10127;-9749
318,RT_DEL;8;CryptoZombie;
319,RT_completed;8;23:00;
320,UPDATE SCORE;-9749;-9649
